epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4282,2.54694,8.24841,2.54712,0.48278,0.54666,0.54656,0.37427,2.38944,5.15381,2.57508,0.000473813,0.000473813,0.000473813
2,125.203,2.70096,5.24744,2.591,0.5728,0.47904,0.51559,0.31749,2.65893,4.02976,2.9158,0.000918792,0.000918792,0.000918792
3,183.708,2.8385,3.63107,2.6437,0.68838,0.54559,0.65479,0.41028,2.50347,2.60635,2.59081,0.00133233,0.00133233,0.00133233
4,242.525,2.71467,2.90078,2.57198,0.77954,0.80443,0.83135,0.49365,2.76,2.13955,2.83112,0.00128753,0.00128753,0.00128753
5,302.11,2.63065,2.65293,2.52651,0.72771,0.63597,0.74365,0.50016,2.37978,2.1724,2.54343,0.00124037,0.00124037,0.00124037
6,360.177,2.5894,2.41646,2.4795,0.82695,0.72844,0.85446,0.57362,2.37021,1.70767,2.4676,0.00119322,0.00119322,0.00119322
7,418.913,2.47017,2.20025,2.43284,0.85028,0.81733,0.89967,0.5942,2.42572,1.45604,2.53444,0.00114606,0.00114606,0.00114606
8,477.378,2.43972,2.08417,2.41027,0.92522,0.84897,0.94462,0.64967,2.25857,1.3573,2.45882,0.0010989,0.0010989,0.0010989
9,536.448,2.36542,2.02739,2.37617,0.91801,0.85256,0.9422,0.66069,2.18178,1.2785,2.386,0.00105174,0.00105174,0.00105174
10,595.319,2.31061,1.8782,2.35931,0.92952,0.88966,0.96431,0.67311,2.25541,1.08059,2.44656,0.00100459,0.00100459,0.00100459
11,653.077,2.28444,1.83813,2.34195,0.90069,0.93573,0.95974,0.65571,2.24597,1.26838,2.3957,0.00095743,0.00095743,0.00095743
12,712.9,2.23604,1.75928,2.30353,0.90896,0.90138,0.95694,0.6839,2.21082,1.09062,2.41503,0.000910273,0.000910273,0.000910273
13,771.733,2.20848,1.74549,2.29871,0.8973,0.88848,0.94775,0.65854,2.22522,1.21524,2.41159,0.000863116,0.000863116,0.000863116
14,829.43,2.18022,1.64037,2.27921,0.94168,0.92496,0.97524,0.65978,2.2864,0.98428,2.42141,0.000815959,0.000815959,0.000815959
15,889.093,2.14117,1.60133,2.25758,0.89303,0.92842,0.96663,0.64477,2.29914,1.09121,2.48124,0.000768802,0.000768802,0.000768802
16,948.351,2.09819,1.58132,2.24226,0.94629,0.93757,0.97507,0.70331,2.1153,0.8903,2.30338,0.000721645,0.000721645,0.000721645
17,1007.22,2.03064,1.47422,2.21615,0.95009,0.95637,0.97961,0.68208,2.15761,0.91001,2.32748,0.000674488,0.000674488,0.000674488
18,1066.54,2.00734,1.46528,2.21175,0.96011,0.91895,0.97836,0.69335,2.12177,0.8951,2.3243,0.000627331,0.000627331,0.000627331
19,1124.68,1.96142,1.40636,2.16421,0.96474,0.9356,0.97779,0.69966,2.07972,0.88854,2.31349,0.000580174,0.000580174,0.000580174
20,1182.65,1.97019,1.44014,2.18287,0.99309,0.94668,0.98195,0.69716,2.1097,0.86022,2.29272,0.000533017,0.000533017,0.000533017
21,1241,1.72797,0.98582,2.10772,0.97007,0.95538,0.97953,0.69896,2.18012,0.86631,2.31701,0.00048586,0.00048586,0.00048586
22,1298.43,1.67662,0.93052,2.0686,0.97825,0.94182,0.9805,0.7025,2.08452,0.84445,2.29573,0.000438703,0.000438703,0.000438703
23,1354.6,1.63189,0.88964,2.05254,0.95121,0.96498,0.98032,0.7192,1.97204,0.80881,2.26115,0.000391546,0.000391546,0.000391546
24,1410.73,1.58604,0.87298,2.03529,0.96771,0.95843,0.98439,0.71175,2.06226,0.80632,2.2549,0.000344389,0.000344389,0.000344389
25,1467.81,1.53658,0.84336,2.00779,0.96994,0.96481,0.98572,0.73309,1.97533,0.76529,2.22624,0.000297232,0.000297232,0.000297232
26,1523.49,1.50235,0.78431,1.97987,0.96343,0.9839,0.98695,0.71444,2.06702,0.8056,2.27154,0.000250075,0.000250075,0.000250075
27,1580.57,1.49967,0.77676,1.9773,0.96814,0.94334,0.98418,0.72798,1.98957,0.76624,2.21768,0.000202918,0.000202918,0.000202918
28,1636.25,1.44181,0.76824,1.95806,0.95885,0.97883,0.98541,0.71834,2.05546,0.77391,2.27501,0.000155761,0.000155761,0.000155761
29,1693.38,1.4224,0.72365,1.95513,0.97275,0.96396,0.9853,0.7172,2.03305,0.76612,2.25046,0.000108604,0.000108604,0.000108604
30,1748.82,1.37207,0.7059,1.9197,0.98592,0.96594,0.98493,0.72371,1.99754,0.7828,2.23698,6.1447e-05,6.1447e-05,6.1447e-05
